state,district,population,rural_pct,poverty_rate,literacy_rate,sc_st_pct,women_workforce_pct,avg_household_size
Bihar,Muzaffarpur,4800000,85.2,34.1,63.8,16.4,18.2,5.1
Bihar,Gaya,4400000,86.5,36.8,61.2,28.5,16.9,5.3
Bihar,Araria,2800000,91.0,42.5,53.4,15.8,15.1,5.4
Bihar,Sitamarhi,3400000,89.5,38.2,52.1,14.2,14.8,5.5
Uttar Pradesh,Bahraich,3500000,88.0,35.6,49.4,18.7,17.5,5.6
Uttar Pradesh,Shravasti,1100000,92.1,39.8,46.7,22.3,16.2,5.7
Uttar Pradesh,Siddharthnagar,2600000,90.3,37.4,55.1,19.5,18.0,5.4
Maharashtra,Nandurbar,1600000,78.5,28.9,64.2,45.1,32.4,4.8
Maharashtra,Gadchiroli,1100000,82.0,31.2,70.5,38.6,29.8,4.6
Tamil Nadu,Ramanathapuram,1350000,65.4,18.7,81.2,19.8,35.6,4.2
Tamil Nadu,Theni,1250000,58.2,16.5,83.4,21.3,38.1,4.1
Rajasthan,Barmer,2600000,85.6,29.4,57.8,16.9,25.3,5.2
Rajasthan,Jaisalmer,670000,78.9,27.1,56.2,14.5,22.8,5.0
Odisha,Kalahandi,1600000,88.7,33.5,59.8,42.1,27.4,4.9
Odisha,Malkangiri,610000,91.2,38.9,49.2,58.6,24.1,5.1
Madhya Pradesh,Chhatarpur,1800000,79.4,30.1,64.5,24.8,26.7,4.9
Madhya Pradesh,Alirajpur,730000,90.5,41.2,37.2,89.1,28.5,5.3
Assam,Dhemaji,690000,92.0,28.6,68.4,47.3,21.9,5.0
Assam,Kokrajhar,930000,85.5,26.8,66.1,35.4,23.2,4.8
Jharkhand,Dumka,1300000,87.3,32.7,61.0,48.2,25.6,5.0
Jharkhand,Latehar,730000,89.8,35.4,59.5,55.8,24.9,5.2
West Bengal,Maldah,4000000,78.6,25.9,62.7,18.4,22.1,4.7
West Bengal,Cooch Behar,2800000,82.1,24.3,75.8,50.1,21.5,4.6
Karnataka,Raichur,1900000,72.4,26.8,60.2,28.5,31.2,4.5
Andhra Pradesh,Vizianagaram,2300000,76.8,22.4,59.1,17.9,33.8,4.3
Chhattisgarh,Bastar,1400000,86.2,34.8,54.6,72.4,36.1,5.1
