state,district,road_density_km_per_100sqkm,all_weather_road_pct,household_electricity_pct,piped_water_pct,toilet_coverage_pct,phc_per_100k,school_per_10k_children,internet_penetration_pct,infra_gap_score
Bihar,Muzaffarpur,42,61,92,28,68,3.2,4.1,38,72
Bihar,Gaya,38,55,89,22,62,2.8,3.8,35,78
Bihar,Araria,31,48,85,18,55,2.1,3.2,29,85
Bihar,Sitamarhi,35,52,87,20,58,2.4,3.5,32,81
Uttar Pradesh,Bahraich,48,58,91,25,64,3.0,3.9,36,74
Uttar Pradesh,Shravasti,29,45,83,15,51,1.9,2.9,27,88
Uttar Pradesh,Siddharthnagar,41,56,88,21,59,2.6,3.6,33,79
Maharashtra,Nandurbar,55,72,96,41,78,4.1,5.2,48,58
Maharashtra,Gadchiroli,38,61,93,32,71,3.5,4.4,42,67
Tamil Nadu,Ramanathapuram,78,85,99,62,92,5.8,6.8,65,32
Tamil Nadu,Theni,82,88,99,68,94,6.1,7.2,69,28
Rajasthan,Barmer,28,52,94,19,73,2.7,3.7,41,76
Rajasthan,Jaisalmer,22,48,91,14,68,2.3,3.1,38,82
Odisha,Kalahandi,35,54,90,24,67,2.9,3.8,34,75
Odisha,Malkangiri,24,42,86,12,52,1.8,2.7,26,89
Madhya Pradesh,Chhatarpur,46,63,94,31,74,3.4,4.3,45,62
Madhya Pradesh,Alirajpur,27,49,88,16,58,2.0,2.8,28,86
Assam,Dhemaji,33,51,89,27,66,2.8,3.9,37,73
Assam,Kokrajhar,41,58,91,30,69,3.1,4.1,40,68
Jharkhand,Dumka,39,57,90,26,65,2.9,3.7,36,71
Jharkhand,Latehar,32,50,87,18,59,2.2,3.2,31,80
West Bengal,Maldah,62,71,97,45,81,4.3,5.1,52,51
West Bengal,Cooch Behar,58,69,96,42,79,4.0,4.9,49,54
Karnataka,Raichur,51,68,95,38,76,3.8,4.7,47,59
Andhra Pradesh,Vizianagaram,67,76,98,51,85,4.9,5.8,58,42
Chhattisgarh,Bastar,29,47,88,17,61,2.1,3.0,30,84
